material_code,description,uom,category_hint,hsn_code,last_rate_inr
BP-HB-0201,HEX BOLT M12x50 GR 8.8 PLAIN DIN 931,NOS,fastener,7318,9.0
BP-HB-0202,HEX BOLT M12 X 50 8.8 PLN DIN 931,EA,fastener,7318,9.5
bp-hb-0202,HEX BOLT M12X50 8.8 DIN 931 PLAIN,nos,fastener,7318,9.2
BP-HN-0203,HEX NUT M12 DIN 934 ZINC PLATED,NOS,fastener,7318,3.6
,HEX NUT M10 DIN 934 HDG,NOS,fastener,7318,3.2
BP-GB-0205,GATE VALVE 3 INCH 150# FLANGED CAST STEEL,,valve,8481,
BP-XX-0206,VALVE,NOS,valve,8481,500.0
BP-XX-0207,ELBOW,NOS,pipe-fitting,7307,150.0
BP-BB-0208,BALL BEARING 6204 2RS 20 MM,nos,bearing,8482,192.0
BP-CB-0209,CABLE 1.1 KV XLPE 3C 2.5 SQMM,MTR,electrical,8544,52.0
BP-CB-0210,CABLE 1.1KV XLPE 3CX2.5,NUM,electrical,8544,51.0
BP-PG-0211,PRESSURE GAUGE 0-16 KGF/CM2 1/2 BSP 4 INCH,NOS,instrument,9026,1350.0
BP-SB-0212,STUD BOLT B7 PLAIN ASTM A193 3/4 INCH,NOS,fastener,7318,45.0
