cpse,material_code,description,uom,category_hint,hsn_code,last_rate_inr,true_material_id
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",NOS,VLV,8481,3255,T0045
CPCL,MAT100005,"HEX BOLT 8.8, HDG, DIN 933, M10x40",NOS,FST,7318,18,X5003
CPCL,MAT100013,"HEX NUT DIN 934, 8, M16",NOS,,7318,6,T0010
CPCL,MAT100020,"FLAT WASHER M16, DIN 125",NOS,BRG,7318,3,T0016
CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",NOS,INS,8481,4933,T0038
CPCL,MAT100032,"BALL BEARING DG, 6205, ZZ",NOS,BRG,8482,279,X5009
CPCL,MAT100029,"STUD BOLT B7, PLN, ASTM A193",NOS,,7318,95,T0022
CPCL,MAT100064,"REDUCER ASTM A234 WPB, 2""x1"", SCH 40",NOS,FIT,7307,512,T0057
CPCL,MAT100018,HEX NUT 8,NOS,FST,7318,6,T0014
CPCL,MAT100087,"PRESSURE GAUGE BOURDON, 0-10 kg/cm2, 1/2 BSP",NOS,VLV,9026,1518,T0079
CPCL,MAT100067,"FLANkE ASTM A105, RF, CL 150, SO",NOS,ELE,7307,593,T0060
CPCL,MAT100079,"HYDRAULIC OIL 20 L, MIN",PKT,LUB,2710,311,T0072
CPCL,MAT100040,"ROLLER BEARING SPH, CCW33, 22217",NOS,BRG,8482,1990,T0033
CPCL,MAT100078,"GREASE 18 kg, NLGI 2, LI-EP",PKT,LUB,2710,442,T0071
CPCL,MAT100058,"ELBOW ASTM A234 WPB, SCH 40, 90 deg",NOS,FIT,7307,365,T0053
CPCL,MAT100038,"BALL BEARING 50 mm, DG, OPEN",NOS,BRG,8482,253,T0030
CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",NOS,VLV,8481,3619,T0041
CPCL,MAT100030,"SOCKET HEAD CAP SCREW ZN, 12.9, M10x30, DIN 912",NOS,LUB,7318,22,T0024
CPCL,MAT100039,"ROLLER BEARING SPH, OPEN, 22206, 30 mm",NOS,BRG,8482,1833,T0032
CPCL,MAT100025,"STUD BOLT M20x100, PLN, B7, ASTM A193",NOS,,7318,90,T0021
CPCL,MAT100024,"FLAT WASHER M14, ZN, DIN 125",NOS,FST,,3,T0019
CPCL,MAT100066,"FLANGE ASTM A105, WN, CL 150, 2""",NOS,FIT,7307,637,X5019
CPCL,MAT100037,"BALL BEARING 6210, DG, 50 mm",NOS,BRG,8482,264,T0030
CPCL,MAT100068,"CABLE 3C x 2.5, XLPE, 1.1 kV",NOS,,8544,96,T0061
CPCL,MAT100022,FLAT WASHER M12,NOS,FST,7318,3,T0018
CPCL,MAT100084,"CENTRIFUGAL PUMP MECH, 25 m3/hr, 32 m",NOS,PMP,8413,29155,T0076
CPCL,MAT100059,"ELBOW 45 deg, ASTM A234 WPB, SCH 40, 2""",NOS,,7307,377,X5017
CPCL,MAT100063,"REDUCER ASTM A234 WPB, SCH 40, 2""x1""",NOS,FIT,,507,T0057
CPCL,MAT100033,"BALL BEARING DG, 6204, 20 mm",NOS,BRG,,264,T0026
