cpse,material_code,description,uom,category_hint,hsn_code,last_rate_inr
GAIL,GLM-HB-0001,HEX BOLT M20X80 GR 8.8 BLACK DIN 933,NOS,fastener,7318,17.0
GAIL,GLM-BF-0002,BUTTERFLY VALVE 6 INCH CI CLASS 150 WAFER TYPE,NOS,valve,8481,3400.0
GAIL,GLM-BB-0003,BALL BEARING 6205 ZZ,NOS,bearing,8482,215.0
GAIL,GLM-PV-0004,PIPE 4 INCH IS1239 SCH40,MTR,pipe,7306,318.0
GAIL,GLM-CB-0005,CABLE 1.1 KV XLPE 3CX2.5 MM2,NOS,electrical,8544,96.0
GAIL,GLM-HN-0006,HEX NUT M16 ZINC DIN 934,NOS,fastener,7318,4.5
GAIL,GLM-GV-0007,GATE VALVE DN50 FORGED STEEL CLASS 800 SOCKET WELD,NOS,valve,8481,4100.0
GAIL,GLM-RB-0008,SPHERICAL ROLLER BEARING 22217 CC W33,NOS,bearing,8482,1890.0
GAIL,GLM-FL-0009,FLANGE 2 INCH A105 CL150 WN RF ASTM,NOS,fitting,7307,760.0
GAIL,GLM-EL-0010,ELBOW 2 SCH40 45 DEG WPB,NOS,fitting,7306,310.0
GAIL,GLM-SH-0011,SHCS M10X30 GR 12.9 ZN DIN 912,NOS,fastener,7318,8.0
GAIL,GLM-GR-0012,LITHIUM GREASE NLGI-2 5 KG PACK,KG,lubricant,2710,410.0
GAIL,GLM-HB-0013,HEX BOLT M12X45 8.8 ZN IS 1364,NOS,fastener,7318,18.0
GAIL,GLM-CP-0014,CENTRIFUGAL PUMP 25 M3/HR 32 M 5.5 KW,NOS,pump,8413,54000.0
GAIL,GLM-TW-0015,THERMOWELL 6 X 300 MM SS316,NOS,instrument,9026,2400.0
