cpse,material_code,description,uom,category_hint,hsn_code,last_rate_inr,true_material_id
NTPC,EGW000053,"Seamless Pipe, 6"" NB",MTRS,MC-P,,351,T0049
NTPC,EGW000058,"Ss Pipe, A312 TP304, 2"" NB, SMLS",MTRS,MC-P,7304,987,X5016
NTPC,EGW000094,"Thermowell, 1/2"", 150 mm",NOS.,MC-I,9026,972,T0081
NTPC,EGW000089,"Centrifugal Pump, 50 m, 45 m3/hr",NOS.,MC-PM,8413,31526,T0077
NTPC,EGW000074,"Contactor, 230 V AC, 4 pole",NOS.,MC-E,8544,2300,T0066
NTPC,EGW000031,"Ball Bearing, ZZ, 25 mm, D.G., 6205",NOS.,MC-B,8482,319,X5009
NTPC,EGW000022,"Flat Washer, M14, DIN 125",NOS.,,,3,T0019
NTPC,EGW000030,"Ball Bearing, D.G., 2RS, 6205",NOS.,MC-B,,304,T0025
NTPC,EGW000095,"Thermofell, 1/2"", S.S. 304",NOS.,,9026,1037,X5029
NTPC,EGW000092,"Pressure Gauge, Bourdon, 1/2 BSP, 0-16 kg/cm2, 4""",NOS.,MC-I,9026,1667,X5028
NTPC,EGW000027,"Socket Screw, Blk Oxide, DIN 912, Gr.12.9",NOS.,MC-F,7318,25,T0023
NTPC,EGW000071,"Cabee, 1.1 kV, 2C X 1.5 Sq mm",NOS.,MC-E,8544,106,T0062
NTPC,EGW000086,"Centrifugal Pump, 25 m3/hr, 3.7 kW, Mech.",NOS.,MC-PM,8413,30847,T0076
NTPC,EGW000060,"Tee, SCH 40, ASTM A234 WPB, 2""",NOS.,MC-PF,,508,T0055
NTPC,EGW000021,"Flat Washer, DIN 125, M12, Zinc Pltd",NOS.,MC-V,7318,3,T0018
NTPC,EGW000029,"Socket Screw, DIN 912, Gr.12.9, M10 x 35 mm",NOS.,,7318,26,X5008
NTPC,EGW000026,"Stud Bolt, B-7, ASTM A193",NOS.,MC-F,7318,112,T0022
NTPC,EGW000054,"Seamless Pipe, SCH 80, ASTM A106 Gr B, SMLS, 1"" NB",MTRS,MC-P,7304,362,T0050
NTPC,EGW000004,"Hex Bolt, M20 x 80 mm, Blk Oxide, Gr.8.8, DIN 933",NOS.,MC-F,7318,21,T0004
NTPC,EGW000036,"Ball Bearing, 629, 55 mm",NOS.,,8482,305,T0029
NTPC,EGW000002,"Hex Bolt, IS 1364, M12 x 40 mm, Zinc Pltd",NOS.,MC-F,7318,21,T0002
NTPC,EGW000032,"Ball Bearing, Open, D.G.",NOS.,MC-B,8482,278,T0026
NTPC,EGW000042,"Roller Bearing, Cylindrical, NU310",NOS.,,8482,2070,T0034
NTPC,EGW000078,"Grease, Lithium, 5 kg",PACK,MC-B,2710,459,T0070
NTPC,EGW000056,"Ss Pipe, SCH 10, A312 TP316, SMLS, 2"" NB",MTRS,MC-PM,7304,946,T0052
NTPC,EGW000076,"Mzb, 4P, C curve, 415 V",NOS.,MC-E,,550,T0068
NTPC,EGW000066,"Flange, Class 150, ASTM A105, R.F.",NOS.,MC-PF,7307,741,T0060
NTPC,EGW000034,"Ball Bearing, D.G., 2RS, 627, 35 mm",NOS.,MC-B,8482,282,T0027
NTPC,EGW000033,"Ball Bearing, 35 mm, 2RS, 627, D.G.",NOS.,MC-I,8482,280,T0027
NTPC,EGW000048,"Gtobe Valve, F.S., S.W., 1.5""",NOS.,MC-V,8481,3860,T0041
NTPC,EGW000065,"Flange, R.F., ASTM A105, W-N, 3""",NOS.,MC-PF,,727,T0059
NTPC,EGW000001,"Hex Bolt, Blk Oxide, Gr.8.8, M16 x 60 mm",NOS.,,7318,20,T0001
NTPC,EGW000082,"Hydraulic Oil, ISO VG 46",PACK,MC-L,2710,373,T0072
NTPC,EGW000079,"Grease, 5 kg, NLGI 3, Lithium",PACK,MC-PM,2710,489,X5024
NTPC,EGW000093,"Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP",NOS.,,9026,1672,T0080
NTPC,EGW000067,"Flange, 1"", S-O, Class 150, ASTM A105",NOS.,MC-PF,7307,716,T0060
NTPC,EGW000015,"Hex Nut, H.D.G., M12, Gr.8, DIN 934",NOS.,MC-F,7318,7,T0012
NTPC,EGW000061,"Tee, 1"", SCH 80, ASTM A234 WPB",NOS.,MC-PF,7307,500,T0056
NTPC,EGW000088,"Centrifugal Pump, 45 m3/hr, 50 m, Mech.",NOS.,MC-PM,8413,30669,T0077
NTPC,EGW000039,"Ball Bearing, 25 mm, ZZ",NOS.,MC-B,8482,317,X5010
NTPC,EGW000084,"Gnar Oil, E.P., 20 L, ISO VG 220",PACK,MC-L,2710,340,T0074
NTPC,EGW000035,"Ball Bearing, 2RS, D.G.",NOS.,MC-B,8482,279,T0028
NTPC,EGW000059,"Elbow, ASTM A234 WPB, 90 deg, 3""",NOS.,,,439,T0054
NTPC,EGW000025,"Stud Bolt, M20 x 100 mm",NOS.,MC-PM,7318,104,T0021
NTPC,EGW000070,"Cable, P.V.C., 2C X 1.5 Sq mm",NOS.,MC-E,8544,100,T0062
NTPC,EGW000020,"Flat Washer, Zinc Pltd, DIN 9021",NOS.,MC-F,7318,3,X5006
NTPC,EGW000064,"Flange, R.F., Class 150, ASTM A105, 2"", W-N",NOS.,MC-PF,7307,712,X5019
NTPC,EGW000051,"Seamless vipe, SCH 40, ASTM A106 Gr B",MTRS,MC-P,7304,344,T0047
NTPC,EGW000024,"Flat Washer, M18, Zinc Pltd, DIN 125",NOS.,MC-F,7318,3,T0020
NTPC,EGW000023,"Flat Washer, M14, DIN 125, Zinc Pltd",NOS.,,7318,3,T0019
NTPC,EGW000028,"Socket Screw, Zinc Pltd, Gr.12.9, M10 x 30 mm",NOS.,MC-F,7318,23,T0024
NTPC,EGW000014,"Hex Nut, Gr.A4-70, M10, Plaid Finish",NOS.,MC-F,7318,7,X5005
NTPC,EGW000096,"Level Indicator, 0-2000 mm, Mag Float, 1"" NPT",NOS.,,9026,13712,T0082
NTPC,EGW000037,"Ball Bearing, D.G., 6210, Open, 50 mm",NOS.,MC-B,8482,297,T0030
NTPC,EGW000044,"Gate Valte, Class 150, Flanged, 3""",NOS.,,8481,5149,T0036
NTPC,EGW000016,"Hex Nut, M14, H.D.G., Gr.8",NOS.,MC-F,7318,7,T0013
NTPC,EGW000047,"Ball Valve, S.S. 316, Flanged",NOS.,MC-V,8481,1580,T0040
NTPC,EGW000005,"Hex Bolt, DIN 933, M10 x 30 mm, Gr.A2-70",NOS.,MC-F,7318,20,T0005
NTPC,EGW000049,"Globe Valve, mlass 150, 2"", C.S.",NOS.,MC-V,8481,3992,T0042
NTPC,EGW000080,"Grease, 18 kg, NLGI 2, Lithium-EP",PACK,,2710,465,T0071
NTPC,EGW000017,"Hex Nut, M14, H.D.G., DIN 934",NOS.,MC-F,7318,6,T0013
NTPC,EGW000043,"Gate Valve, Flanged",NOS.,MC-V,,5860,T0035
NTPC,EGW000091,"Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP, 4""",NOS.,MC-I,9026,1770,T0079
NTPC,EGW000040,"Roller Bearing, 30 mm, 22206, Open",NOS.,MC-B,8482,2193,T0032
NTPC,EGW000046,"Ball Valve, S.S. 316, 1"", Screwed",NOS.,MC-V,8481,1513,T0039
NTPC,EGW000052,"Seamless Pipe, SCH 40, SMLS, ASTM A106 Gr B",MTRS,MC-PM,7304,380,T0048
NTPC,EGW000073,"Motor, 1440 RPM, B-3, 3-Phase",NOS.,MC-E,8544,22623,T0065
NTPC,EGW000019,"Flat Washer, DIN 125, M16, Zinc Pltd",NOS.,MC-F,7318,4,T0016
NTPC,EGW000018,"Hex Nut, DIN 934, M20, H.D.G., Gr.8",NOS.,MC-I,7318,6,T0015
NTPC,EGW000063,"Flange, ASTM A105, Class 150, 2"", R.F., S-O",NOS.,MC-PF,7307,699,T0058
NTPC,EGW000085,"Turbine Oil, Mineral, ISO VG 32",PACK,MC-L,2710,393,T0075
NTPC,EGW000012,"Hex Nut, M16, Zinc Pltd, DIN 934",NOS.,MC-F,7318,7,T0010
