cpse,material_code,description,uom,category_hint,hsn_code,last_rate_inr,true_material_id
SAIL,S100441,FLANGE / ASTM-A105 / WELD NECK / 150# / RF / 2 INCH,NUM,D5,7307,623,X5019
SAIL,S100021,HEX BOLT / DIN-933 / 10.9 GR / M10x40MM,NUM,A1,7318,18,T0003
SAIL,S100420,TEE / SCH 40 / ASTM-A234-WPB / 2 INCH,NUM,D5,7307,369,T0055
SAIL,S100623,CENTRIFUGAL PUMP / 7.5 kW / 45 m3/hr / 50 m / MECH,NUM,,8413,25112,T0077
SAIL,S100574,GREASE / NLGI 2 / LITHIUM EP / 5 kg,PKTS,F7,2710,401,X5025
SAIL,S100567,GREASE / LITaIUM EP / NLGI 2 / 18 kg,PKTS,F7,2710,405,T0071
SAIL,S100588,TURBINE OIL / 20 L / ISO-VG-46 / MINERAL,PKTS,F7,2710,314,T0073
SAIL,S100273,GATE VALVE / 2 INCH / CAST STEEL / FLANGED / 150#,NUM,C3,8481,4430,T0035
SAIL,S100469,CABLE / 1.1 kV / 3C-4.0SQMM,NUM,E6,8544,88,X5020
SAIL,S100686,LEVEL INDICATOR / 0-2000 mm,NUM,H9,9026,10969,T0082
SAIL,S100252,ROLLER BEARING / 85 mm / 22217 / CC-W33 / SPHERICAL,NUM,B2,8482,1640,T0033
SAIL,S100364,PIPE SEAMLESS / ASTM-A106-Gr-B / SCH 80 / 2 INCH NB / SEAMLESS,MTR.,D4,7304,287,X5015
SAIL,S100189,BALL BEARING / 35 mm / 2 RS / 627 / DEEP GROOVE,NUM,,8482,231,T0027
SAIL,S100287,GATE VALVE / SOCKET WELD / FORGED STEEL / 1.5 INCH / 800#,NUM,C3,8481,4236,T0038
SAIL,S100035,HEX BOLT / PLAIN / M10x30MM,NUM,A1,,18,X5004
SAIL,S100042,HEX BOLT / M18x72MM / GALVANIZED / DIN-933 / 8.8 GR,NUM,A1,7318,18,T0008
SAIL,S100525,CONTACTOR / 230 V AC / 65 A,NUM,E6,8544,1785,T0067
SAIL,S100595,TURBINE OIL / ISO-VG-46 / 20 L / MINERAL,PKTS,C3,2710,329,T0073
SAIL,S100427,REDUCER / SCH 40 / ASTM-A234-WPB / 2 INCHx1 INCH,NUM,,7307,483,T0057
SAIL,S100476,CABLE / 2C-1.5SQMM / 1.1 kV / PVC,NUM,E6,8544,89,T0062
SAIL,S100581,HYDRAULIC OIL / MINERAL / ISO-VG-46,PKTS,H9,,310,T0072
SAIL,S100378,PIPE SEAMLESS / SEAMLESS / 6 INCH NB / ASTM-A106-Gr-B,MTR.,D4,7304,274,T0049
SAIL,S100448,FLANGE / 300# / ASTM-A105 / 3 INCH / RF / WELD NECK,NUM,,7307,596,T0059
SAIL,S100644,GEAR PUMP / 10 bar / 0.5 LPM / 1.5 kW / GLAND,NUM,G8,8413,15332,T0078
SAIL,S100637,GEAR PUMP / GLAND / 1.5 kW / 0.5 LPM,NUM,D4,8413,14517,T0078
SAIL,S100147,STUD BOLT / PLAIN / M16x80MM / B7,NUM,A1,7318,87,T0022
SAIL,S100175,BALL BEARING / 6205,NUM,B2,8482,248,X5009
SAIL,S100630,CENTRIFUGAL PUMP / MECH / 7.5 kW / 45 m3/hr / 50 m,NUM,G8,,25418,T0077
SAIL,S100455,CABLE / XLPE / 1.1 kV,NUM,E6,8544,84,T0061
SAIL,S100462,CABLE / 1.1 oV / 3C-2.5SQMM / XLPE,NUM,E6,8544,83,T0061
SAIL,S100490,INDUCTION MOTOR / B3 / 5 HP / 1440 RPM / 3 PHASE,NUM,E6,8544,16190,T0064
SAIL,S100070,HEX NUT / PLAIN / DIN-934 / M10 / A470,NUM,A1,7318,5,X5005
SAIL,S100182,BALL BEARING / 6204 / 20 mm / DEEP GROOVE,NUM,B2,8482,238,T0026
