national_material_code,action,members,confidence,auto,timestamp
NMC-VLV-BFLY-CBD4B276,CLUSTER_CREATED,2,0.9728,True,2026-09-04T23:43:53
NMC-FAST-BOLT-9BF0ABAC,CLUSTER_CREATED,2,0.9604,True,2026-09-04T23:43:53
NMC-FAST-NUT-36F25EB4,CLUSTER_CREATED,3,0.7361,True,2026-09-04T23:43:53
NMC-FAST-WSHR-5841AA67,CLUSTER_CREATED,4,0.6899,True,2026-09-04T23:43:53
NMC-VLV-GATE-62535D6F,CLUSTER_CREATED,3,0.9626,True,2026-09-04T23:43:53
NMC-BRG-BALL-B63F592A,CLUSTER_CREATED,3,0.85,True,2026-09-04T23:43:53
NMC-BRG-ROLL-B378E174,CLUSTER_CREATED,4,0.9385,True,2026-09-04T23:43:53
NMC-VLV-GLOBE-519D5145,CLUSTER_CREATED,3,0.9733,True,2026-09-04T23:43:53
NMC-FAST-SHCS-DD191B7B,CLUSTER_CREATED,3,0.8489,True,2026-09-04T23:43:53
NMC-BRG-ROLL-B38FA5A7,CLUSTER_CREATED,6,0.6541,True,2026-09-04T23:43:53
NMC-FAST-STUD-35740701,CLUSTER_CREATED,2,0.892,True,2026-09-04T23:43:53
NMC-FAST-WSHR-48D253A8,CLUSTER_CREATED,5,0.7157,True,2026-09-04T23:43:53
NMC-FIT-FLANGE-53237127,CLUSTER_CREATED,4,0.8903,True,2026-09-04T23:43:53
NMC-ELEC-CABLE-2CFB332A,CLUSTER_CREATED,4,0.9265,True,2026-09-04T23:43:53
NMC-FIT-ELBOW-A8BCC18E,CLUSTER_CREATED,2,0.9768,True,2026-09-04T23:43:53
NMC-FAST-BOLT-F7230951,CLUSTER_CREATED,2,0.8525,True,2026-09-04T23:43:53
NMC-PIPE-2405518A,CLUSTER_CREATED,4,0.8813,True,2026-09-04T23:43:53
NMC-FAST-BOLT-D2B8639C,CLUSTER_CREATED,3,0.9652,True,2026-09-04T23:43:53
NMC-FAST-STUD-8F8EAA6E,CLUSTER_CREATED,2,0.7792,True,2026-09-04T23:43:53
NMC-FIT-FLANGE-19B7F9E6,CLUSTER_CREATED,4,0.7688,True,2026-09-04T23:43:53
NMC-FAST-BOLT-69DA8A92,CLUSTER_CREATED,3,0.8196,True,2026-09-04T23:43:53
NMC-PMP-CENT-E25418B5,CLUSTER_CREATED,3,0.8771,True,2026-09-04T23:43:53
