national_material_code,cpse,legacy_material_code,legacy_description,legacy_uom,mapped_at
NMC-VLV-BFLY-CBD4B276,CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",NOS,2026-09-04T14:30:21
NMC-VLV-BFLY-CBD4B276,GAIL,GLM-BF-0002,BUTTERFLY VALVE 6 INCH CI CLASS 150 WAFER TYPE,NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-9BF0ABAC,CPCL,MAT100005,"HEX BOLT 8.8, HDG, DIN 933, M10x40",NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-9BF0ABAC,IOCL,RM-00005,Hex Bolt – 8.8 – Hot Dip Galvanised – DIN 933 – M10 X 40,EA,2026-09-04T14:30:21
NMC-FAST-NUT-36F25EB4,CPCL,MAT100013,"HEX NUT DIN 934, 8, M16",NOS,2026-09-04T14:30:21
NMC-FAST-NUT-36F25EB4,IOCL,RM-00013,Hex Nut – Zinc Plated – DIN 934 – 8 – M16,EA,2026-09-04T14:30:21
NMC-FAST-NUT-36F25EB4,SAIL,S100056,HEX NUT / M16 / ZP / 8 GR / DIN-934,NUM,2026-09-04T14:30:21
NMC-FAST-WSHR-5841AA67,CPCL,MAT100020,"FLAT WASHER M16, DIN 125",NOS,2026-09-04T14:30:21
NMC-FAST-WSHR-5841AA67,IOCL,RM-00019,Flat Washer – M16 – DIN 125 – Zinc Plated,EA,2026-09-04T14:30:21
NMC-FAST-WSHR-5841AA67,NTPC,EGW000019,"Flat Washer, DIN 125, M16, Zinc Pltd",NOS.,2026-09-04T14:30:21
NMC-FAST-WSHR-5841AA67,SAIL,S100112,FLAT WASHER / DIN-125 / ZP / M16,NUM,2026-09-04T14:30:21
NMC-VLV-GATE-62535D6F,CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",NOS,2026-09-04T14:30:21
NMC-VLV-GATE-62535D6F,IOCL,RM-00045,"Gate Valve – Forged Steel – Socket Weld – 1.5"" – Class 800",EA,2026-09-04T14:30:21
NMC-VLV-GATE-62535D6F,SAIL,S100287,GATE VALVE / SOCKET WELD / FORGED STEEL / 1.5 INCH / 800#,NUM,2026-09-04T14:30:21
NMC-BRG-BALL-B63F592A,CPCL,MAT100032,"BALL BEARING DG, 6205, ZZ",NOS,2026-09-04T14:30:21
NMC-BRG-BALL-B63F592A,GAIL,GLM-BB-0003,BALL BEARING 6205 ZZ,NOS,2026-09-04T14:30:21
NMC-BRG-BALL-B63F592A,NTPC,EGW000031,"Ball Bearing, ZZ, 25 mm, D.G., 6205",NOS.,2026-09-04T14:30:21
NMC-BRG-ROLL-B378E174,CPCL,MAT100040,"ROLLER BEARING SPH, CCW33, 22217",NOS,2026-09-04T14:30:21
NMC-BRG-ROLL-B378E174,GAIL,GLM-RB-0008,SPHERICAL ROLLER BEARING 22217 CC W33,NOS,2026-09-04T14:30:21
NMC-BRG-ROLL-B378E174,IOCL,RM-00039,Roller Bearing – CC W33 – 85 mm – Spherical – 22217,EA,2026-09-04T14:30:21
NMC-BRG-ROLL-B378E174,SAIL,S100252,ROLLER BEARING / 85 mm / 22217 / CC-W33 / SPHERICAL,NUM,2026-09-04T14:30:21
NMC-VLV-GLOBE-519D5145,CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",NOS,2026-09-04T14:30:21
NMC-VLV-GLOBE-519D5145,IOCL,RM-00048,"Globe Valve – Forged Steel – Socket Weld – Class 800 – 1.5""",EA,2026-09-04T14:30:21
NMC-VLV-GLOBE-519D5145,SAIL,S100308,GLOBE VALVE / FORGED STEEL / SOCKET WELD / 1.5 INCH / 800#,NUM,2026-09-04T14:30:21
NMC-FAST-SHCS-DD191B7B,CPCL,MAT100030,"SOCKET HEAD CAP SCREW ZN, 12.9, M10x30, DIN 912",NOS,2026-09-04T14:30:21
NMC-FAST-SHCS-DD191B7B,NTPC,EGW000028,"Socket Screw, Zinc Pltd, Gr.12.9, M10 x 30 mm",NOS.,2026-09-04T14:30:21
NMC-FAST-SHCS-DD191B7B,SAIL,S100154,SOCKET HEAD CAP SCREW / M10x30MM / ZP / DIN-912 / 12.9 GR,NUM,2026-09-04T14:30:21
NMC-BRG-ROLL-B38FA5A7,CPCL,MAT100039,"ROLLER BEARING SPH, OPEN, 22206, 30 mm",NOS,2026-09-04T14:30:21
NMC-BRG-ROLL-B38FA5A7,IOCL,RM-00038,Roller Bearing – Open Type – 22206 – Sphedical – 30 mm,EA,2026-09-04T14:30:21
NMC-BRG-ROLL-B38FA5A7,NTPC,EGW000040,"Roller Bearing, 30 mm, 22206, Open",NOS.,2026-09-04T14:30:21
NMC-BRG-ROLL-B38FA5A7,NTPC,EGW000041,"Roller Bearing, 30 mm, 22206",NOS.,2026-09-04T14:30:21
NMC-BRG-ROLL-B38FA5A7,SAIL,S100245,ROLLER BEARING / SPHERICAL / 22206 / OPEN,NUM,2026-09-04T14:30:21
NMC-BRG-ROLL-B38FA5A7,SAIL,S100238,ROLLER BEARING / 22206 / OPEN / 30 mm,NUM,2026-09-04T14:30:21
NMC-FAST-STUD-35740701,CPCL,MAT100025,"STUD BOLT M20x100, PLN, B7, ASTM A193",NOS,2026-09-04T14:30:21
NMC-FAST-STUD-35740701,IOCL,RM-00026,Stud Bolt – ASTM A193 – M20 X 100 – B7,EA,2026-09-04T14:30:21
NMC-FAST-WSHR-48D253A8,CPCL,MAT100024,"FLAT WASHER M14, ZN, DIN 125",NOS,2026-09-04T14:30:21
NMC-FAST-WSHR-48D253A8,CPCL,MAT100023,"FLAT WASHER M14, ZN, DIN 125",NOS,2026-09-04T14:30:21
NMC-FAST-WSHR-48D253A8,NTPC,EGW000022,"Flat Washer, M14, DIN 125",NOS.,2026-09-04T14:30:21
NMC-FAST-WSHR-48D253A8,NTPC,EGW000023,"Flat Washer, M14, DIN 125, Zinc Pltd",NOS.,2026-09-04T14:30:21
NMC-FAST-WSHR-48D253A8,SAIL,S100126,FLAT WASHER / ZP / DIN-125 / M14,NUM,2026-09-04T14:30:21
NMC-FIT-FLANGE-53237127,CPCL,MAT100066,"FLANGE ASTM A105, WN, CL 150, 2""",NOS,2026-09-04T14:30:21
