a_cpse,a_code,a_desc,b_cpse,b_code,b_desc,sim,reason
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",CPCL,MAT100044,"GATE VALVE CL 800, FS, SW, 1.5""",0.6329,"veto:class,end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",CPCL,MAT100047,"GLOBE VALVE FS, SW, CL 800, 1.5""",0.5691,"veto:class,end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",0.6163,"veto:end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",CPCL,MAT100046,"BALL VALVE 2"", SS 316, CL 800, eLG",0.7103,"veto:class,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",CPCL,MAT100051,"SAFETY VALVE BRZ, CL 150, SCR",0.5379,"veto:end,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",CPCL,MAT100042,"GATE VALVE CS, FLG, 3"", CL 150",0.6827,"veto:end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",CPCL,MAT100048,"GLOBE VALVE FLG, 2"", CL 150, CS",0.6071,"veto:end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",CPCL,MAT100043,"GATE VALVE CL 300, CS, 4""",0.6633,"veto:class,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",CPCL,MAT100045,"BALL VALVE SS 316, CL 150, 1""",0.6877,"veto:inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",GAIL,GLM-GV-0007,GATE VALVE DN50 FORGED STEEL CLASS 800 SOCKET WELD,0.4581,"veto:class,end,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00044,"Gate Valve – Forged Steel – 1.5"" – Socket Weld",0.4674,"veto:end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00051,"Check Valve – Flanged – Cast Iron – Class 150 – 2""",0.7175,"veto:end,inch,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00049,"Globe Valve – Class 800 – Socket Weld – Forged Steel – 2""",0.4639,"veto:class,end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00053,Safety Valve – Screwed – Bronze – Class 150,0.5174,"veto:end,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00047,"Ball Valve – Flanged – Stainless Steel 316 – 2"" – Class 800",0.5868,"veto:class,end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00046,"Ball Valve – Stainless Steel 316 – 1"" – Screwed – Class 150",0.5963,"veto:end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00048,"Globe Valve – Forged Steel – Socket Weld – Class 800 – 1.5""",0.4653,"veto:class,end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00042,"Gate Valve – Class 150 – Flanged – 3"" – Cast Steel",0.6074,"veto:end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00052,"Check Valve – 3"" – Class 150 – Cast Steel",0.7068,"veto:inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00041,"Gate Valve – Class 150 – 2""",0.5925,"veto:inch,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00043,"Gate Valve – Class 300 – Cast Steel – 4"" – Flanged",0.5938,"veto:class,end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00045,"Gate Valve – Forged Steel – Socket Weld – 1.5"" – Class 800",0.4991,"veto:class,end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",IOCL,RM-00050,"Globe Valve – 2"" – Class 150 – Flanged",0.513,"veto:end,inch,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",NTPC,EGW000047,"Ball Valve, S.S. 316, Flanged",0.5813,"veto:end,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",NTPC,EGW000049,"Globe Valve, mlass 150, 2"", C.S.",0.6335,"veto:inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",NTPC,EGW000043,"Gate Valve, Flanged",0.4744,"veto:end,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",NTPC,EGW000046,"Ball Valve, S.S. 316, 1"", Screwed",0.5724,"veto:end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",NTPC,EGW000045,"Gate Valve, C.S., 4"", Class 300",0.6974,"veto:class,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100273,GATE VALVE / 2 INCH / CAST STEEL / FLANGED / 150#,0.6358,"veto:end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100287,GATE VALVE / SOCKET WELD / FORGED STEEL / 1.5 INCH / 800#,0.5506,"veto:class,end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100357,SAFETY VALVE / 1 INCHx1.5 INCH / 150#,0.649,"veto:inch,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100301,BALL VALVE / 800# / SS-316 / FLANGED / 2 INCH,0.6604,"veto:class,end,inch,material,type"
CPCL,MAT100050,"BUTTERFLY VALVE 6"", WAFER, CL 150, CI",SAIL,S100294,BALL VALVE / 1 INCH / SCREWED / SS-316 / 150#,0.6426,"veto:end,inch,material,type"
