kind,reason,cpse,material_code,description,top_candidates,suggested_nmc,decision
record,missing-identity-attribute,NTPC,EGW000050,"Butterfly Valve, Wafer, C.I., 6""","CPCL/MAT100050 (sim 0.94): BUTTERFLY VALVE 6"", WAFER, CL 150, CI || GAIL/GLM-BF-0002 (sim 0.89): BUTTERFLY VALVE 6 INCH CI CLASS 150 WAFER TYPE || SAIL/S100343 (sim 0.73): BUTTERFLY VALVE / 150# / 6 INCH",NMC-VLV-BFLY-CBD4B276,
record,missing-identity-attribute,SAIL,S100343,BUTTERFLY VALVE / 150# / 6 INCH,"CPCL/MAT100050 (sim 0.79): BUTTERFLY VALVE 6"", WAFER, CL 150, CI || GAIL/GLM-BF-0002 (sim 0.77): BUTTERFLY VALVE 6 INCH CI CLASS 150 WAFER TYPE",NMC-VLV-BFLY-CBD4B276,
record,missing-identity-attribute,GAIL,GLM-GV-0007,GATE VALVE DN50 FORGED STEEL CLASS 800 SOCKET WELD,"IOCL/RM-00045 (sim 0.91): Gate Valve – Forged Steel – Socket Weld – 1.5"" – Class 800 || SAIL/S100287 (sim 0.89): GATE VALVE / SOCKET WELD / FORGED STEEL / 1.5 INCH / 800# || IOCL/RM-00044 (sim 0.88): Gate Valve – Forged Steel – 1.5"" – Socket Weld",NMC-VLV-GATE-62535D6F,
record,missing-identity-attribute,IOCL,RM-00044,"Gate Valve – Forged Steel – 1.5"" – Socket Weld","IOCL/RM-00045 (sim 0.94): Gate Valve – Forged Steel – Socket Weld – 1.5"" – Class 800 || SAIL/S100287 (sim 0.91): GATE VALVE / SOCKET WELD / FORGED STEEL / 1.5 INCH / 800# || CPCL/MAT100044 (sim 0.89): GATE VALVE CL 800, FS, SW, 1.5""",NMC-VLV-GATE-62535D6F,
record,missing-identity-attribute,SAIL,S100315,GLOBE VALVE / FORGED STEEL / SOCKET WELD / 800#,"SAIL/S100308 (sim 0.97): GLOBE VALVE / FORGED STEEL / SOCKET WELD / 1.5 INCH / 800# || CPCL/MAT100047 (sim 0.95): GLOBE VALVE FS, SW, CL 800, 1.5"" || IOCL/RM-00048 (sim 0.95): Globe Valve – Forged Steel – Socket Weld – Class 800 – 1.5""",NMC-VLV-GLOBE-519D5145,
record,missing-identity-attribute,CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS","IOCL/RM-00052 (sim 0.79): Check Valve – 3"" – Class 150 – Cast Steel || SAIL/S100336 (sim 0.79): CHECK VALVE / 150# / CASr STEEL / 3 INCH / FLANGED",NMC-VLV-CHECK-5689C50A,
record,missing-identity-attribute,NTPC,EGW000047,"Ball Valve, S.S. 316, Flanged","IOCL/RM-00047 (sim 0.91): Ball Valve – Flanged – Stainless Steel 316 – 2"" – Class 800 || SAIL/S100301 (sim 0.86): BALL VALVE / 800# / SS-316 / FLANGED / 2 INCH || CPCL/MAT100045 (sim 0.80): BALL VALVE SS 316, CL 150, 1""",NMC-VLV-BALL-69ADE0C2,
record,missing-identity-attribute,CPCL,MAT100051,"SAFETY VALVE BRZ, CL 150, SCR",IOCL/RM-00053 (sim 0.96): Safety Valve – Screwed – Bronze – Class 150 || SAIL/S100350 (sim 0.77): SAFETY VALVE / SCREWED / 1 INCHx1.5 INCH / 150# || SAIL/S100357 (sim 0.72): SAFETY VALVE / 1 INCHx1.5 INCH / 150#,PROVISIONAL-SAFETY-VALVE-IOCL-RM-00053,
record,missing-identity-attribute,NTPC,EGW000043,"Gate Valve, Flanged","IOCL/RM-00043 (sim 0.84): Gate Valve – Class 300 – Cast Steel – 4"" – Flanged || SAIL/S100280 (sim 0.83): GATE VALVE / 3 INCH / 150# / CAST STEEL / FLANGED || CPCL/MAT100042 (sim 0.79): GATE VALVE CS, FLG, 3"", CL 150",NMC-VLV-GATE-225BC40F,
record,missing-identity-attribute,IOCL,RM-00050,"Globe Valve – 2"" – Class 150 – Flanged","CPCL/MAT100048 (sim 0.92): GLOBE VALVE FLG, 2"", CL 150, CS || SAIL/S100322 (sim 0.82): GLOBE VALVE / 150# / 2 INCH / FLAoGED / CAST STEEL || NTPC/EGW000049 (sim 0.66): Globe Valve, mlass 150, 2"", C.S.",NMC-VLV-GLOBE-4DDB30E4,
record,missing-identity-attribute,NTPC,EGW000049,"Globe Valve, mlass 150, 2"", C.S.","SAIL/S100322 (sim 0.86): GLOBE VALVE / 150# / 2 INCH / FLAoGED / CAST STEEL || CPCL/MAT100048 (sim 0.80): GLOBE VALVE FLG, 2"", CL 150, CS",NMC-VLV-GLOBE-4DDB30E4,
record,missing-identity-attribute,NTPC,EGW000046,"Ball Valve, S.S. 316, 1"", Screwed","SAIL/S100294 (sim 0.92): BALL VALVE / 1 INCH / SCREWED / SS-316 / 150# || IOCL/RM-00046 (sim 0.87): Ball Valve – Stainless Steel 316 – 1"" – Screwed – Class 150 || CPCL/MAT100045 (sim 0.84): BALL VALVE SS 316, CL 150, 1""",NMC-VLV-BALL-94148AE7,
record,missing-identity-attribute,SAIL,S100329,CHECK VALVE / CAST IRON / FLANGED,"IOCL/RM-00051 (sim 0.81): Check Valve – Flanged – Cast Iron – Class 150 – 2""",NMC-VLV-CHECK-62102FCC,
record,missing-identity-attribute,IOCL,RM-00053,Safety Valve – Screwed – Bronze – Class 150,SAIL/S100350 (sim 0.78): SAFETY VALVE / SCREWED / 1 INCHx1.5 INCH / 150# || SAIL/S100357 (sim 0.73): SAFETY VALVE / 1 INCHx1.5 INCH / 150#,NMC-VLV-SAFETY-74D22385,
record,missing-identity-attribute,SAIL,S100336,CHECK VALVE / 150# / CASr STEEL / 3 INCH / FLANGED,"SAIL/S100329 (sim 0.76): CHECK VALVE / CAST IRON / FLANGED || IOCL/RM-00052 (sim 0.70): Check Valve – 3"" – Class 150 – Cast Steel",NMC-VLV-CHECK-8D0BF910,
record,missing-identity-attribute,IOCL,RM-00041,"Gate Valve – Class 150 – 2""","SAIL/S100273 (sim 0.88): GATE VALVE / 2 INCH / CAST STEEL / FLANGED / 150# || NTPC/EGW000043 (sim 0.66): Gate Valve, Flanged",NMC-VLV-GATE-1AE21128,
